Facility Id,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,681a4202-c70c-4e4b-973c-5e7c701edfd7,dead3739-e58d-446d-8938-915598433f39,3f8f0246-b251-4056-9c8f-79c66b61dc59,LITERS,0,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,bf0f93c0-d84b-4d5b-a040-4245bf44ae09,98ec8ceb-27b7-4ee3-b97f-310f966c817e,81f18f5d-5bbe-4b1a-9b68-13cb675dd5a1,QUARTS,4,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,c5786d90-edf1-4b03-95b8-802215f9181a,33c5a060-d68b-4f0d-8dbc-71effca62d43,356b91d9-aff1-4447-bb56-30e125554765,QUARTS,1,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,7229b10f-dd80-4f4e-a0cf-bfccc84de479,985d0789-d71a-4b67-9d03-b89c2f071a97,61dd1b83-235d-4739-8c3e-c59a576b10d7,GALLONS,25,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,d1fea531-ff76-45d0-93a0-e676d37457f7,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,28de2a39-4aa8-47a8-a474-1204c8a9ffaa,GALLONS,50,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,8db35111-3bcd-4482-bb11-30b89bab674a,15d2a98f-70b9-4517-ae77-1fc4efa45749,81507e4f-7155-4faa-999b-55a9dc60d89e,QUARTS,40,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,5d15b555-902a-480c-8ce5-094017ab189e,77e12311-2771-4a3c-a34a-f2d7342145f5,f9f9e295-05e6-48f8-bae1-48d9c7917fa9,GALLONS,30,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,22fe5147-8d28-4301-a9d6-74b06282b77d,5bd7c116-b78d-4d48-a327-827127cbdb82,77e0219a-2196-41a7-86ec-3f78a50afcf6,GALLONS,12,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,99ce7cf0-96c7-4987-b701-4d1e407e5e64,8299f07d-fe8a-477a-8a9f-c751831e799c,7589bdac-5d5f-4b4c-832e-06006c3e37e6,GALLONS,6,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,f9b9d6ae-70ba-4851-a002-8461b468d827,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,beaa6d02-54b5-413b-be8a-f16a386af3c8,GALLONS,55,STEEL_DRUM,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
07ee7c7e-0778-442b-8a3b-345343e3a0d5	,883b7124-9c13-41ff-a6ee-341efbcde9ca,2667cae6-fe1a-4e83-a34e-c8ead304f3e2,0359f2d8-b364-41e9-808f-057fccbc472a,17e2063f-0352-439c-b1ee-6e32e2c917d1,GALLONS,20,PLASTIC_BOTTLE,Service Storeroom,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
bb2138ce-b567-4721-b9dc-cacd5be69285	,883b7124-9c13-41ff-a6ee-341efbcde9ca,b95ccd53-b32d-4e7b-a427-7bb507900055,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,1990f69e-c885-46cd-9716-122b4ba8bc07,QUARTS,0,PLASTIC_BOTTLE,Back Warehouse,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
bb2138ce-b567-4721-b9dc-cacd5be69285	,883b7124-9c13-41ff-a6ee-341efbcde9ca,1808fc47-dc80-44d7-b43f-49d0b087796b,a9a0f347-ad0f-45e4-bd65-d5cd8d3fe572,a97997e9-b52a-4ac2-87ea-e02fc143cb7a,CUBIC_FEET,30,BOX,Back Warehouse,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
bb2138ce-b567-4721-b9dc-cacd5be69285	,883b7124-9c13-41ff-a6ee-341efbcde9ca,51da5002-0fc7-4ab8-ba3a-3987d0b2ca3c,8c42d057-c06a-4d80-8448-65f210b35b48,0993dd21-6773-4540-afe7-06703236b1d4,CUBIC_FEET,40,BOX,Back Warehouse,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
bb2138ce-b567-4721-b9dc-cacd5be69285	,883b7124-9c13-41ff-a6ee-341efbcde9ca,2affd165-5326-4fd1-a5d6-03d53427957f,45dd3f3d-39b8-4463-879a-98590fe256f1,47a12b30-37d8-4a28-b07b-dcce325c7c0f,QUARTS,0,PLASTIC_BOTTLE,Warehouse,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,1f5c392a-8087-4ae1-b53e-aa039f1232f3,84d7dd81-8ece-4d3d-bc62-15fe889741a9,8f9af67e-c627-4d41-bf23-50b44130de9a,GALLONS,0,STEEL_DRUM,Bulk,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,5028a11f-7bc5-4733-82d3-71ee617b34f1,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,c557a57b-4d94-49a6-aab1-dba7a45faccb,GALLONS,0,PLASTIC_BOTTLE,SOP,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,d5ab4a29-7593-4b59-b2f2-13f7c4974cda,e69c1106-bb9b-411c-9fcc-ba5ba4efaa73,d7727337-eae6-42ca-889a-df95d9ee91a1,GALLONS,0,GLASS_BOTTLE,BC2,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,59d9940e-3931-4760-b768-053d71a789de,b94781fd-ed0e-4dbb-a060-c77f40553a22,72b2b36e-f84d-44c7-ace7-a484583e6404,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,3702abaf-6113-434b-9feb-37ff4c32172b,9a23671e-c77e-4bca-8efd-014775443cfd,d9c96d88-3306-469d-a77a-32e25988d4ef,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,c5504efe-fd2e-457f-93bd-b09b1dc49ee0,cee3641c-8ed6-46d1-9099-66385b977e5d,d705a120-c11b-49f8-82db-ab4ce4cc4789,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,77db860a-cc02-4bae-a6bb-fef72af0a41d,713b50e5-e8ce-4249-9b7f-bf94e0acfecf,17463733-c16a-4787-8cf7-103c8b2140c1,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,dbf55704-f81c-4148-8359-61d7d987f976,052a71bc-4b6f-4562-9cb6-d6ae8d28d149,31fde1c0-235e-4f5c-b08d-8076eff981f5,GALLONS,0,PLASTIC_BOTTLE,SHED,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,5d519661-0fc5-48d2-ba00-9a41d93e0ed4,b4929d0f-0ebd-4c30-9699-be4e72fdf6c9,60688e3c-8975-432f-8e75-88703f16cea3,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,289360a4-f53a-443e-b94a-67ed5cb56278,ea1bf237-4b66-4f16-9fe6-5ca29995d844,91662f50-a5f3-4b02-893f-b3751917dc23,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,28688379-0746-4706-b90e-a793a7d1b8ce,dc115865-c928-4273-9c73-e07b06b07afd,8cf6848f-ee17-4fa4-a501-e915f296a30b,GALLONS,0,BOX,53D,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,b2038c31-e9d1-4ae2-aea6-9d6e7cff77fa,a0c96571-3c9c-4225-8e5c-257bb77482c4,0cf7f6c8-8182-4950-8b06-ad235000d862,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,84dff48d-491d-4d71-81f2-1d93571cecde,42d94481-e621-4345-ba25-e97ab1308bfb,ac63ef2b-1302-4f01-8801-2ee4ae4d8a96,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,567e8caa-c313-4030-b1ed-b309e2a3cb58,6689dd29-5a7b-44cd-be1d-dfc049171140,0280cb65-63d5-4628-ab87-095a87c73468,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,5315b884-a24c-4b17-927e-8431719288d1,4237ab55-892f-40b7-bebc-45c104ec3c52,5cf097fc-a3ca-4f86-bb0a-da9d539fe332,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,3c090740-d1fc-40a1-991c-792654b75374,d26d05d6-92cd-45c0-93cf-0bfcee30bc64,219cf897-202b-485f-9a82-85c441734aa4,GALLONS,0,PLASTIC_BOTTLE,SHED1,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,a7b6a843-d794-4d97-8ddb-1a5e1b1a509c,90b57b76-2f73-4cde-82bc-afbc4c4c75f8,1d37faf3-ac09-415a-8874-0cf42d9b6ea5,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,f47a4f12-6f8d-4f36-9e11-6ccc2662ef26,ed0b6258-32e3-4f15-9415-c00b2dba5a3c,92fd663c-43d9-485d-9c03-9bd6d0745fc2,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,6edd9310-11c4-4295-aec7-fd26e950c13d,dd6ade6d-964d-48f6-bf5a-c0bb1212ce56,6ea564cd-4077-40d6-8924-a410c1d748c4,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,9f71203f-e88f-4ba1-aceb-854823b3bb3d,917df877-3788-4f7e-95e1-4091651064e4,3da84270-922c-41f2-9412-806fb098f707,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,c5ed7bb2-9d2e-4d0b-ad29-20609318fbe1,8e909a6b-e3fa-4f89-9e95-88e02986b021,8c14d599-13dc-4604-baa8-cdb4bbe740d8,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,883b7124-9c13-41ff-a6ee-341efbcde9ca,6764170a-5ca4-4add-8c1c-7f2e05a33a56,9bca6524-da36-49e2-9079-d247e9b2c77b,c3dcbbc9-49d8-43b5-bb08-456265089d51,GALLONS,0,BOX,Battery,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
